x,t_c
0.19826,0.19089
0.21061,0.16516
0.22645,0.14899
0.24581,0.13428
0.27922,0.12176
0.3267,0.10997
0.38296,0.09597
0.43746,0.08711
0.50777,0.07678
0.57809,0.06938
0.70991,0.06414
0.8259,0.06479
0.89972,0.05959
0.95071,0.0478
0.97533,0.03823
1,5.5466e-07

x,beta
0.19374,0.76253
0.2131,0.74709
0.23422,0.72797
0.2659,0.70223
0.31517,0.66766
0.35741,0.63677
0.42075,0.59264
0.48057,0.55659
0.53862,0.52348
0.59667,0.49258
0.6512,0.46683
0.71979,0.43738
0.81828,0.40057
0.9062,0.37186
0.98181,0.34976
0.99939,0.3446

x,cld1_2
0.1966,0.13358
0.22998,0.14164
0.28269,0.15115
0.3477,0.15845
0.40042,0.16062
0.45314,0.16131
0.50411,0.15907
0.54982,0.15536
0.60429,0.15973
0.65173,0.16631
0.70268,0.17509
0.75012,0.1802
0.79932,0.18531
0.84853,0.18821
0.90127,0.18009
0.93117,0.16611
0.95579,0.15286
0.9769,0.14183
0.99976,0.13593

x,cld3
0.1966,0.13285
0.24052,0.1431
0.31256,0.15407
0.37582,0.15843
0.44084,0.15985
0.47951,0.15982
0.54103,0.15464
0.6043,0.15238
0.69217,0.15599
0.76423,0.15374
0.82575,0.15075
0.87497,0.14043
0.9207,0.12423
0.95587,0.10731
0.98225,0.09847
0.99984,0.09331

x,lambda
0.15078,0.20856
0.19651,0.18648
0.2317,0.16515
0.26688,0.14675
0.30381,0.13203
0.34424,0.12539
0.37588,0.12537
0.42507,0.13341
0.47426,0.1466
0.51114,0.16347
0.54274,0.18182
0.56905,0.20899
0.58658,0.23763
0.58828,0.26628
0.59,0.29273
0.59344,0.33241
0.59691,0.36033
0.61267,0.39044
0.63546,0.42275
0.66879,0.45946
0.78986,0.56885
0.8583,0.62465
0.91624,0.6584
0.97594,0.68775
0.99878,0.69434

x,c1_3
0.1961,0.42014
0.27159,0.46857
0.33831,0.50453
0.38396,0.52948
0.44015,0.55295
0.47704,0.56541
0.52271,0.5764
0.57191,0.58224
0.61411,0.57192
0.64753,0.55426
0.67568,0.53661
0.72143,0.50865
0.76014,0.47924
0.79006,0.45717
0.81823,0.42997
0.85518,0.40349
0.90095,0.36084
0.94848,0.31231
0.96611,0.28217
0.97846,0.25498

x,c2
0.19786,0.42013
0.2716,0.46123
0.33656,0.49571
0.39275,0.52726
0.44543,0.55
0.49988,0.57054
0.55083,0.58079
0.57191,0.58077
0.70394,0.46091
0.75851,0.40944
0.78316,0.38003
0.81485,0.35061
0.84302,0.3212
0.86767,0.29694
0.89936,0.26679
0.92928,0.24252
0.95392,0.21679
0.97155,0.18959
